dep,arr,tof_days,c3_km2s2,v_inf_kms,dv1_ms,dv2_ms,total_dv_ms
2026-12-17,2027-10-26,313,1.4664148648568216,1.210956177925866,1210.9561779258659,1128.3378539879786,2339.2940319138443
2027-01-08,2027-09-26,261,1.467116613741993,1.211245893178587,1211.245893178587,1088.6765868845869,2299.9224800631737
2027-01-16,2027-10-01,258,1.467212851812085,1.2112856194193362,1211.2856194193362,1089.0601339130908,2300.345753332427
2026-12-23,2027-10-30,311,1.4686911318129086,1.2118956769511593,1211.8956769511592,1122.8770039269473,2334.7726808781063
2027-01-10,2027-09-27,260,1.46959757845441,1.2122695980904619,1212.2695980904618,1092.50117289505,2304.770770985512
2026-12-11,2027-10-21,314,1.4699988721464659,1.2124351001791667,1212.4351001791667,1107.5671030329695,2320.002203212136
2027-01-02,2027-09-22,263,1.4705991040614612,1.2126826064809626,1212.6826064809627,1090.369848594016,2303.0524550749788
2027-01-05,2027-09-24,262,1.4714556193585335,1.2130357040740942,1213.0357040740942,1089.6988415178257,2302.73454559192
2027-01-15,2027-09-30,258,1.471905494327242,1.213221123426081,1213.221123426081,1094.458122933174,2307.679246359255
2026-12-01,2027-10-12,315,1.4725354576400107,1.2134807199292499,1213.48071992925,1064.2386417393998,2277.71936166865
2027-01-12,2027-09-28,259,1.4726849701728586,1.2135423231897842,1213.5423231897842,1096.2259564222793,2309.7682796120635
2026-12-12,2027-10-22,314,1.474451883719368,1.2142701032798955,1214.2701032798955,1115.3577564861525,2329.627859766048
2026-12-21,2027-10-29,312,1.4752304983558597,1.214590671113466,1214.590671113466,1133.7452978038673,2348.335968917333
2027-01-01,2027-09-21,263,1.4753807543004542,1.2146525240991575,1214.6525240991575,1095.1982740554317,2309.850798154589
2027-01-07,2027-09-25,261,1.4755069883567828,1.2147044860198644,1214.7044860198644,1093.7533582659635,2308.457844285828
2026-12-18,2027-10-27,313,1.4772315551204855,1.215414149629864,1215.4141496298641,1136.6466726575036,2352.060822287368
2027-01-14,2027-09-29,258,1.4778721985048484,1.2156776704804808,1215.6776704804809,1099.8673143967098,2315.5449848771905
2026-12-02,2027-10-13,315,1.477966653213337,1.2157165184422465,1215.7165184422465,1070.4026491707978,2286.1191676130443
2027-01-09,2027-09-26,260,1.4782426124663774,1.2158300096914771,1215.8300096914772,1097.6979005425242,2313.5279102340014
2027-01-04,2027-09-23,262,1.4785507613360407,1.2159567267530702,1215.9567267530701,1094.6472435195137,2310.603970272584
2026-12-31,2027-09-20,263,1.4793203237026633,1.216273128743155,1216.273128743155,1100.0248920396207,2316.298020782776
2026-12-13,2027-10-23,314,1.479745934934191,1.2164480814791032,1216.4480814791032,1123.3421621360526,2339.7902436151558
2027-01-11,2027-09-27,259,1.480901683880641,1.2169230394238746,1216.9230394238746,1101.5369724020472,2318.460011825922
2027-01-19,2027-10-03,257,1.4814550476365496,1.2171503800420675,1217.1503800420676,1087.0277483351363,2304.178128377204
2027-01-18,2027-10-02,257,1.4814736397692922,1.2171580175841148,1217.1580175841148,1092.4797123236192,2309.637729907734
2026-12-30,2027-09-19,263,1.4823549146258095,1.2175199853085819,1217.519985308582,1104.8517685845345,2322.3717538931164
2026-12-03,2027-10-14,315,1.4828197482028316,1.217710863958613,1217.710863958613,1076.771705484508,2294.482569443121
2027-01-20,2027-10-04,257,1.4832827281555574,1.2179009517015567,1217.9009517015566,1081.6034751266816,2299.504426828238
2027-01-17,2027-10-01,257,1.4833060299406802,1.2179105180351635,1217.9105180351635,1097.95510050588,2315.8656185410437
2027-01-06,2027-09-24,261,1.4837118833822125,1.2180771253833693,1218.0771253833693,1098.8228604176643,2316.899985801034
